题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
雷公藤多甙片和甲状腺片治疗慢性淋巴细胞性甲状腺炎疗效观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Zza3q5Q6Jw5z2ujwwC3fAvDk0GnoqfLv2VEiMY6uFXMR7nI1cqsAGKGGBSeubqcVbFCOB6uTNs0wCwSLbG30SuoALID5OAgmO7ksWjTutxD0OQIjvSt2oQWOQzr5zr6Bg=&uniplatform=NZKPT&language=CHS,程如林;高寅香;叶正宝;王仲祥,中西医结合杂志,11/26/1988,期刊,28,,"<正> 慢性淋巴细胞性甲状腺炎或称桥本氏甲状腺炎,属自身免疫性疾病,我们用雷公藤多甙片和甲状腺片治疗12例患者,取得满意效果,报道如下。临床资料一般资料:本组12例中、女性11例,男性1例,年龄29～72岁,平均54岁。均无家族史。病程1个月～4年,平均13个月。临床表现:全部病例中,有颈前压迫感者3例,心悸2例,低热2例。畏热2例。有甲状腺弥漫性肿大8例,结节性肿大2例,弥漫性肿大伴有结节者2"
慢性淋巴细胞甲状腺炎的研究进展(文献综述),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Zza3q5Q6Jw5z2ujwwC3fAvDk0GnoqfLv3QHlzgNYvKcPpZVgNJT3910OQrUKrbFtir6Bwkho0iBuI1VLpq74vYvJGk6gt5o9gh-Nm1O-pdmW4By2dyIyq1cXS9z0ow-zE=&uniplatform=NZKPT&language=CHS,张波,国外医学.外科学分册,12/15/1996,期刊,28,慢性淋巴细胞甲状腺炎; 自身免疫性甲状腺炎; 桥本氏病;,"慢性淋巴细胞性甲状腺炎现已不少见,细针穿刺细胞学检查和血清抗体水平测定有助于检出此病,综述对此病的治疗提出了一些看法。"
慢性淋巴细胞性甲状腺炎的临床特点,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a72T7QgJFg9DhNZcei51-xZpjQH4EAVGNticPKBa6bN1Ps413zF3xrgWx8RXn757owVDTLmY5jIlusRYVxhT64T0ZyXuVDi7IFqkZtVaz02AIXQgkMmQPOhUB12SHYWG0=&uniplatform=NZKPT&language=CHS,王深明,中国实用外科杂志,2/25/2000,期刊,27,,
慢性淋巴细胞性甲状腺炎与HLA-DQ位点基因的相关性分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_a72T7QgJFg9DhNZcei51-xZpjQH4EAVGOqB8VyS79kBw0AsMrFSKU7qWf66AilA8cBJCu_Jp6ZjSQa6GRKEVGTzp37P5ZFBtHAsVxdFzUHRqrERPMB2lK1qPvW0e6RwmM=&uniplatform=NZKPT&language=CHS,"徐春,白耀,崔莲仙,郭芝生,张如胜,戴为信",中华内科杂志,6/20/1998,期刊,25,"甲状腺炎.自身免疫性,HLA-DQ抗原,聚合酶链反应;",目的分析汉族慢性淋巴细胞性甲状腺炎（ＣＬＴ）与ＨＬＡＤＱ位点基因多态性的相关性。方法用序列特异性引物的聚合酶链反应（ＰＣＲＳＳＰ）方法，分析３０例由病理证实的我国汉族ＣＬＴ患者及２４名正常对照的外周血白细胞基因组ＤＮＡ的ＨＬＡＤＱＡ１及ＤＱＢ１位点的基因多态性分布。结果在ＣＬＴ组中，ＤＱＡ１０３０１的等位基因频率显著高于对照组（Ｐ＜０．０２，ＲＲ＝７００），而ＤＱＢ１０６０２的频率则明显低于对照组（Ｐ＜０．０１，ＲＲ＝０．０９５）。结论ＨＬＡＤＱＡ１０３０１可能与ＣＬＴ的易感性相关，而ＤＱＢ１０６０２可能与ＣＬＴ的抗性相关，在ＨＬＡＤＱ位点存在有易感及抗性的双重作用，等位基因之间的共同作用可能是影响ＣＬＴ发生的重要因素之一。
软坚消瘿汤治疗慢性淋巴细胞性甲状腺炎的临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bD8W0z3De4DX6fM9vEBbJh1-3m3N1coBnXeap0qa57PMJptTK6Ivw57Kl3VDWs_cbOTF62qV9GF8ZWtsQOmZ6LCwCnroJKWT501Nm52pm3znSKrfPTCxIDCgfKzJsUgzI=&uniplatform=NZKPT&language=CHS,方邦江;孙丽华;周细秋;邱运华,中西医结合学报,7/15/2006,期刊,24,慢性淋巴细胞性甲状腺炎; 软坚消瘿汤; 临床研究;,"目的观察软坚消瘿汤治疗慢性淋巴细胞性甲状腺炎的临床疗效。方法80例慢性淋巴细胞性甲状腺炎患者随机分为软坚消瘿汤治疗组和西药治疗组,每组40例。治疗16周后,检测两组患者甲状腺功能及血清抗甲状腺自身抗体滴度水平,并进行临床疗效评价。结果软坚消瘿汤治疗组总有效率92.5%,西药治疗组总有效率60.0%,两组比较差异有统计学意义。两组患者经治疗后,血清游离三碘甲状腺原氨酸、游离甲状腺素水平均较治疗前明显升高,差异有统计学意义;而血清促甲状腺素水平、血清抗甲状腺球蛋白抗体及抗甲状腺微粒体抗体滴度水平则均较治疗前明显下降,差异有统计学意义。结论软坚消瘿汤具有较好的软化、缩小肿大甲状腺及其结节的作用,可以提高机体的免疫功能、减轻甲状腺的自身免疫反应、促进甲状腺细胞功能的恢复。"
妊娠合并慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bD8W0z3De4DX6fM9vEBbJh1-3m3N1coBl9IuoCdGHO-60qzHNZFRrxDHz7U2J7eT8V9JgHTO4bm1g-InuHcu8J9Soz6kFR01OKJK5kiwBcQcQSpPxNPjO1mRDsWQ0qGRk=&uniplatform=NZKPT&language=CHS,孙丽洲;姜子燕,中国实用妇科与产科杂志,12/2/2007,期刊,23,,
二仙汤合芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎伴甲状腺功能减退症疗效观察,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Zw_GK4gNS53KVm_mP6Up4TyjdexyFux-C8NnqzUbd75O9nUJ1eHxJ4vCWpIgcbiFN5ge-GuwnqQDDvpA8sqzFVk70WkMKUfxrNfmRVUbVfy6EXQd99IRKJq8XM2HS9llcx3J6L9vIflg==&uniplatform=NZKPT&language=CHS,黄娟;胡维;林湘东,现代中西医结合杂志,8/1/2017,期刊,22,二仙汤; 芪海消瘿汤; 慢性淋巴细胞性甲状腺炎; 甲状腺功能减退症;,"目的观察二仙汤合芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎伴甲状腺功能减退症的临床疗效。方法将80例慢性淋巴细胞性甲状腺炎伴甲状腺功能减退症患者随机分为治疗组与对照组各40例,2组均给予左旋甲状腺素治疗,治疗组在此基础上加用二仙汤合芪海消瘿汤治疗,疗程均为12周。观察2组临床疗效及治疗前后中医症状积分、甲状腺功能相关指标变化情况。结果 2组治疗后各项中医症状积分均较治疗前明显降低(P均<0.05),且治疗组较对照组降低更明显(P均<0.05);2组治疗后FT3、FT4均较治疗前明显升高(P均<0.05),TSH较治疗前明显降低(P<0.05),且治疗组各指标改善情况均明显优于对照组(P均<0.05);治疗后对照组甲状腺球蛋白抗体(TGAb)、甲状腺过氧化物酶抗体(TPOAb)及甲状腺大小均无明显改变(P均>0.05),治疗组上述指标较治疗前及同期对照组均有明显改善(P均<0.05)。治疗组总有效率明显高于对照组(P<0.05)。结论二仙汤合芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎伴甲状腺功能减退症可有效改善临床症状、体征,降低抗体水平,值得推广应用。"
甲状腺乳头状癌合并慢性淋巴细胞性甲状腺炎的临床病理特征分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZJXz_HIJ5817DDdCP26SAwZaGti-Tlm77rTsRN228TeaumaAAfFbAnyAvf4M5rX2UQjZUbC9Vdb3aOIq6KVi70YNdOrpl6l4YkGGPHPdYY74qj6L93SNqE4JmSN7-uRUahVyO0rAzR1w==&uniplatform=NZKPT&language=CHS,朱敏;王护国;张英;吾甫尔·依马尔;苗玉堂,中国普外基础与临床杂志,3/25/2018,期刊,21,甲状腺肿瘤; 慢性淋巴细胞性甲状腺炎; 临床病理学特征;,"目的分析甲状腺乳头状癌(PTC)合并慢性淋巴细胞性甲状腺炎(CLT)患者的临床病理特征。方法回顾性收集笔者所在医院2014年1月至2017年1月期间经病理学检查确诊为PTC的756例患者的临床病理资料,根据术后常规病理学检查结果是否合并CLT分为单纯PTC组(562例)和PTC合并CLT组(194例),比较2组患者在临床资料、超声特征、甲状腺功能指标及病理特征方面的差异有无统计学意义。结果 PTC合并CLT组女性患者比例,血清促甲状腺激素(TSH)、甲状腺球蛋白抗体(TG-Ab)和甲状腺过氧化物酶抗体(TPO-Ab)水平升高者以及多灶癌的比例均明显高于单纯PTC组(P<0.05),2组患者在术前超声、癌灶大小、被膜侵犯、中央组淋巴结转移及TNM分期方面比较差异均无统计学意义(P>0.05);进一步多因素分析结果显示,女性、TG-Ab升高、TPO-Ab升高以及多灶癌是PTC合并CLT的独立风险预测因素(P<0.05)。结论 PTC与CLT之间可能存在一定的关联,合并CLT的PTC好发于女性,以多灶癌多见,但合并CLT并未增加PTC的侵袭性,这可能与CLT限制了PTC结节的发展有关,推测CLT可能是PTC的保护性因素。"
甲功正常桥本甲状腺炎患者中医体质调查及相关指标分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZJXz_HIJ5817DDdCP26SAwpIqMAGgfDRWT-XJoR8ymN_tL0nV9FfgqlpCsE7PbALKzj5kp-_nY-ks2SRpisytDYPjSqRNjpbzDjKeA4SvYPM61F7D6c9jJRLAfmXYVVot1i0Q2kmQ4nA==&uniplatform=NZKPT&language=CHS,彭俊祥,广州中医药大学,4/1/2015,硕士,21,桥本甲状腺炎; 甲功正常; 中医体质; 调查; 相关指标;,"目的：通过对甲功正常桥本甲状腺炎患者中医体质类型调查,探讨甲功正常桥本甲状腺炎患者体质类型的分布情况及其与相关指标的关系,为临床防治本病提供更有效的依据。方法：2014年8月至2015年2月期间在广东省中医院门诊就诊及住院的甲功正常桥本甲状腺炎患者150例,采用《中医体质分类与判定表》判定中医体质类型,让患者依据其近1年的体验和感觉进行作答,并由专门记录员通过问卷调查的形式记录患者作答情况,同时测定并记录患者甲状腺相关激素的水平。最后通过频数分析、Logistic回归分析等统计学方法处理结果。结果：甲功正常桥本甲状腺炎患者中医体质分类中以气虚质(27.3%)、阳虚质(20.0%)为主,虚性体质占55.33%,实性体质占34.67%。患者以女性为主,占90.7%,并以20-59岁青中年多见,其占62.67%。男性患者中,以气虚质、平和质、湿热质为主；女性患者中,以气虚质、阳虚质、气郁质为主。在体质类型与相关因素的二分类逐步Logistic回归分析中,年龄和轻度TGAb异常与阳虚质成正相关,年龄和轻度TPOAb及TGAb异常与气郁质成负相关,BMI与出现痰湿质成正相关关系。结论：甲功正常桥本甲状腺炎患者的主要体质类型以气虚质、阳虚质等虚性体质为主为。患病以女性多见,尤其是中青年人群。男性患者中,以气虚质、平和质等虚性体质为主,而女性患者中,则以气虚质、阳虚质等虚性体质为主。年龄与阳虚质及气郁质出现风险存在不同的相关性。BMI与出现痰湿质存在相关性。当前本研究初步探讨甲功正常桥本甲状腺炎患者的的中医体质分布情况及其与相关指标的关系,为针对中医体质特点干预防治桥本甲状腺炎提供依据。"
补硒治疗甲状腺功能正常的慢性淋巴细胞性甲状腺炎的疗效探究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bcdzXGipV0QLk_1U-l9TavxAYAw2ex6-x7kSFWrMjZDpypHmKnQVmjsGI5gWiHsAxQvcSgKDYK2uAMmITU3dy2olqFgXvIuMcf_m-O4xP97h8_UxHCHkOFb5PkPNJERqNMezZBUYgrKw==&uniplatform=NZKPT&language=CHS,冼秋花;刘美志;孙杜桑;邱军辉;雷涛,医学研究杂志,12/15/2019,期刊,20,慢性淋巴细胞性甲状腺炎; 硒; 甲状腺抗体; 甲状腺功能;,"目的观察补硒治疗甲状腺功能正常的慢性淋巴细胞性甲状腺炎(桥本甲状腺炎,HT)的临床疗效。方法选取上海中医药大学附属普陀医院内分泌科2016年10月～2018年10月收治的120例(其中TPOAb、TGAb未达到顶值者66例,TPOAb、TGAb达到顶值者54例)甲状腺功能正常的HT患者为研究对象。给予硒酵母胶囊(每次200μg,每日2次)治疗,比较患者治疗前后的游离三碘甲状腺原氨酸(FT3)、游离甲状腺素(FT4)、促甲状腺激素(TSH)、甲状腺过氧化物酶抗体(TPOAb)、甲状腺球蛋白抗体(TGAb)水平变化。结果当TPOAb、TGAb未达到顶值时(即TPOAb <1300U/ml,且TGAb <500U/ml),与治疗前比较,治疗3、6、12个月后患者血清TPOAb水平明显下降,差异有统计学意义(P <0. 05)。补硒治疗3个月后,TGAb水平下降,但差异无统计学意义(P> 0. 05);治疗6、12个月后TGAb水平显著下降,差异有统计学意义(P <0. 05)。当TPOAb、TGAb达到顶值时(即TPOAb> 1300U/ml或TGAb> 500U/ml),补硒治疗3、6个月后与治疗前血清TPOAb、TGAb水平比较,差异均有统计学意义(P <0. 05);治疗12个月后,TPOAb、TGAb水平下降,但差异无统计学意义(P> 0. 05)。不管TPOAb、TGAb是否达到顶值,FT3、FT4、TSH水平与治疗前比较均无明显变化,差异无统计学意义(P均> 0. 05)。结论补硒治疗能够有效地降低慢性淋巴细胞性甲状腺炎患者体内TPOAb、TGAb水平,改善免疫反应,但对甲状腺功能无明显影响。"
二仙汤加芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎伴甲状腺功能减退症的临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YOOl4D8GU4oC2kccdmpK10_bIStDXWKP_Qf9EDeb20zY8DpUDyE2-yfvj2AP7U_BjShQQ0yTIKMiSCCk_PPbgnSX4U0Zmwu7mPIgwYhTi3fE5UOVN5_toxUGFAFnodLz0=&uniplatform=NZKPT&language=CHS,陈琼科;郑世霞;刘静,检验医学与临床,4/28/2014,期刊,19,中药; 慢性淋巴细胞性甲状腺炎; 甲状腺功能减退; 左旋甲状腺素钠;,"目的观察二仙汤加芪海消瘿汤治疗慢性淋巴细胞性甲状腺炎(慢甲炎)伴甲状腺功能减退症的临床疗效。方法选择慢甲炎伴甲状腺功能减退症70例,皆用左旋甲状腺素片维持甲状腺激素正常,分为两组,治疗组在左旋甲状腺素基础上加二仙汤和芪海消瘿汤方,对照组单用左旋甲状腺素。治疗前后观察两组临床疗效,并检测两组血清总甲状腺素(T4)、血清总三碘甲腺原氨酸(T3)、促甲状腺激素(TSH)、游离三碘甲腺原氨酸(FT3)、血清游离甲状腺素(FT4)、甲状腺球蛋白抗体(TGAb)、甲状腺过氧化物酶抗体(TPOAb)、血常规、肝肾功。结果治疗前两组T3、T4、TSH、FT3、FT4、TGAb、TPOAb、血常规比较差异无统计学意义(P>0.05),肝肾功能皆正常,具可比性。经治疗后治疗组有效率为91.4%,对照组为74.3%,两组比较差异有统计学意义(P<0.05)。治疗后两组T3、T4、FT3、FT4、TSH皆正常,治疗组TGAb、TPOAb降低,与治疗前相比差异有统计学意义(P<0.05),与对照组相比差异有统计学意义(P<0.05)。治疗组左旋甲状腺素用量明显减少,与治疗前相比差异有统计学意义(P<0.05)。治疗组肿大的甲状腺较治疗前缩小,相比差异有统计学意义(P<0.05);对照组治疗前、后甲状腺大小变化不大,与治疗组相比差异有统计学意义(P<0.05)。结论二仙汤加芪海消瘿汤能调节慢甲炎伴甲状腺功能减退患者免疫功能,降低抗体水平,减少左旋甲状腺素用量,缩小肿大的甲状腺。"
