Title,URL,Author,Source,Date,Database,Quote,Keywords,Abstract
慢性淋巴细胞性甲状腺炎误行手术18例分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XCYY200007045,"琚惠军,何用如",Chinese Journal of Rural Medicine and Pharmacy,2000-07-15,Journals,,,"＜正＞ 18例慢性淋巴细胞性甲状腺炎均为女性,年龄25～63岁。均以颈前部肿块就诊,病史半月至5年不等。B超示:单侧甲状腺单个或多个实质性占位病变。临床误诊为单发性或多发性甲状腺瘤14例,甲状腺癌2例,功能性腺瘤2例。18例均手术,单侧甲状腺叶大部分切除5例,肿块局部切除10例,单纯活检3例。病理检查18例均为慢性淋巴细胞性甲状腺炎,其中2例合并毒性结节性甲状腺肿,1例合并甲状腺腺瘤。4例病人术后分别出现甲状腺功能低下而行替代疗法,最长达6年余,经随访未见明显副作用。"
Observation  of  The  laboratory  Test  And  histology  of  The  Children  and  Puberal  Chronic  Lymphocytic  Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZYWB200001003,"Li  Jinqian,Liu  Ying,Zhang  Huimin,et  al.The  First  Hospital,West  China  University  of  Medicine  Sciences,Chengdu  610041",JOURNAL OF OCCUPATIONAL HEALTH AND DAMAGE,2000-03-30,Journals,,Thyroiditis  Needle  apirate  Thyroid  function  tests  Autologous  antibody;,"We  studied  a  total  of  37  children  and  juveniles  suffering  from  the  chronic  lymphocytic  thyroiditis.24  patients  diagrosed  by  needle  apirate  and  13  by  clinic  condition  or  intensive  position  of  antimicrosomal  and  antithyroglobulin  anti  bodies（AMA）and  （ATA）.Of  the  37  patients,27  have  normal  thyroid  function  tests  and  10  was  hypothyroidism.ATA  and  AMA  Were  positive  in  9  patient  of  24  whose  diagnosis  were  confirmed  by  needle  apriate  and  15  is  negative.In  the  present  study,we  initally  investgated  the  diagnostic  value  of  ATA,AMA  and  needle  apirate  to  children  and  puberal,Chronic  lymphocytic  thyroiditis  and  the  relation  amony  them."
慢性淋巴细胞性甲状腺炎20例分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZJKB200001022,付守志,Journal of Zhangjiakou Medical Collage,2000-02-15,Journals,,慢性淋巴细胞性甲状腺炎;; 自身免疫性甲状腺炎;,"通过对20例慢性淋巴性甲状腺炎（CLT）临床资料的分析,认为CLT具有不典型的特点;甲状腺自身抗体（TGA、MSA）测定和甲状腺细针抽吸细胞学检查（FNA）对CLT的诊断有重要价值;CLT手术治疗的目的只是为了解除压迫症状和排除恶变。"
慢性淋巴细胞甲状腺炎的诊断及治疗,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SDYY200106064,班博,Shandong Medical Journal,2001-03-25,Journals,3,,
慢性淋巴细胞性甲状腺炎的穿刺细胞学图象,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SHYY200101021,李伯利,Shanghai Journal of Medical Laboratory Sciences,2001-02-28,Journals,,淋巴细胞;; 甲状腺炎;,
慢性淋巴细胞性甲状腺炎并发恶性淋巴瘤及乳头状癌1例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHLC200104031,"周虹,刘文丽,郭晋,李凯声",Clinical Medicine of China,2001-04-30,Journals,3,甲状腺炎;; 淋巴瘤;; 乳头状癌;,
慢性淋巴细胞性甲状腺炎合并甲状腺恶性淋巴瘤一例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHNF200103026,"周湘兰,桂律",Chinese Journal of Endocrinology and Metabolism,2001-06-25,Journals,,,
慢性淋巴细胞性甲状腺炎72例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BZYB200103023,"李良增,王宝龙",Journal of Binzhou Medical College,2001-05-15,Journals,,甲状腺炎;; 甲状腺机能亢进;; 甲状腺机能减退;; 治疗;,
甲状腺炎患者血清唾液酸检测的应用价值,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=HCYX200110068,"王雪春,沈伟锋",Hebei Medicine,2001-10-30,Journals,,,
慢性淋巴细胞性甲状腺炎六例误诊分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LCWZ200104077,彭钊,Clinical Misdiagnosis & Mistherapy,2001-08-17,Journals,,,
慢性淋巴细胞性甲状腺炎72例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LCYB200104046,"仕金让,李良增,高瑛",Journal of Linyi Medical College,2001-11-30,Journals,,甲状腺炎;; 甲状腺机能亢进;; 甲状腺机能减退;,
雷公藤多苷的临床新用途,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SZGY200107079,"王莉,宋小俊",LiShiZhen Medicine and Materia Medica Research,2001-07-30,Journals,2,,
白细胞介素18在慢性淋巴细胞性甲状腺炎中的表达,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZDBL200102023,"杨京平,洪天配,裴斐",Chinese Journal of Diagnostic Pathology,2001-05-30,Journals,1,,
儿童慢性淋巴细胞性甲状腺炎12例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZJYE200105015,"游欢庆,金献江,项如莲",Zhejiang Medical Journal,2001-05-25,Journals,1,,
慢性淋巴细胞性甲状腺炎误诊误治38例分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZWZX200107077,"方连法,许立恒,姜克宁",Chinese Journal of Misdiagnostics,2001-07-20,Journals,1,慢性淋巴细胞性甲状腺炎/诊断;; 误诊;,
γ干扰素/白细胞介素4比值失衡在儿童慢性淋巴细胞性甲状腺炎发病中的作用,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHEK200201012,"董文斌,邓蕾丽",Chinexe Journal of Pediatrics,2002-01-16,Journals,1,,
慢性淋巴细胞性甲状腺炎合并甲状腺癌9例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHLC200212031,"杜勇健
,王新玮
,张立军",Clinical Medicine of China,2002-12-30,Journals,,甲状腺癌;; 慢性淋巴细胞性甲状腺炎;; 诊断;,"目的探讨慢性淋巴细胞性甲状腺炎合并甲状腺癌的诊断与治疗方法。方法总结 9例经病理诊断证实的慢性淋巴细胞性甲状腺炎合并甲状腺癌的病例 ,分析诊断与治疗中的经验教训。结果本组 9例术前、术中诊断均不全面 ,6例有甲状腺癌证据的患者采用了根治性手术 ,3例仅行部分切除术 ,病理诊断后又追加第 2次手术 ,术后口服甲状腺素治疗。结论对于症状不典型的甲状腺结节应采取综合全面的诊断方法 ,必要时手术探查和常规病理检查确诊。"
慢性淋巴细胞性甲状腺炎与HLA-A、-B和-DR关联的研究,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BJMY200204022,"刘小莺,林益川,张芳林,沈晶晶,关晓蕾",Labeled Immunoassays and Clinical Medicine,2002-12-20,Journals,3,,
慢性淋巴细胞性甲状腺炎的临床诊断和治疗,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=NMYX200202015,"马高祥,尹剑波,傅佳晨,马列锋,刘颖斌,孟兴凯,彭承宏",Acta Academiae Medicinae Neimongol,2002-06-30,Journals,2,甲状腺炎;; 自身免疫;; 诊断;; 治疗;,
慢性淋巴细胞性甲状腺炎与HLA-A、-B、-DR关联的研究,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XHYK200204033,"刘小莺,林益川,张芳林,沈晶晶,关晓蕾",Xuehui,2002-04-30,Journals,,,
Surgery for Chronic Lymphadenoid Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZJYZ200205006,"SONG Zhi  ming, HANG Jian  ping, JING Zao  hui, GU Cheng  (Department of Neck Surgery,Jiang  yuan Hospital, Wuxi Jiangsu 214063,China)",Journal of Zhenjiang Medical College,2002-10-30,Journals,2,Chronic lymphadenoid thyroiditis;; Autoimmunity;; Malignant tumor;; Diagnosis;; Treatment;,"Objective:To discuss clinical behaviors,diagnosis and treatment.Methods: 95 cases of chronic lymphadenoid thyroiditis were summaried from January, 1997 to June,2002, and their clinical behaviors, symptoms, diagnosis and treatment were analyzed. Results:21 in 95 cases of chronic lymphadenoid thyroiditis were diagnosed clinically before operations. And 51 in 95 cases of nodular goiter,1 in 95 cases of hyperthyroidism, 13 in 95 cases of hypothyroidism and 9 in 95 cases of thyroid cancer were diagnosed clinically before operation. Pathological diagnosis revealed all the cases were chronic lymphadenoid thyroiditis.Correct rate of chronic lymphadenoid thyroiditis was 22.11% （21/95） while that of coexistence of thyroid cancer was 22.11%（21/95）. Conclusion: It is more likely to occur in middle females with coexistence of thyroid  malignant tumor, hyperthyroidism and hypothyroidism. A detailed understanding of its clinical features, combine with examination of FT  3, FT  4, TSH,TGAb, TMAb, TPO and FNAB will improve its properative diagnosis accuracy. Routine biopsy during operation is useful to select correctly operative methods."
Diagnosis and treatment of chronic lymphocytic thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZPWZ200205009,"MA Yi  1, MENG Gang  2 (1.Department of General Surgery, Affiliated Hospital, Wannan Medical College, Wuhu, Anhui 241001, China; 2.Department of Patholgy,Affiliated Hospital, Anhui Medical University,Anhui 230022,China)",Chinese Journal of General Surgery,2002-06-15,Journals,6,"THYROIDITIS,AUTOIMMUNE/diag;; THYROIDITIS,AUTOIMMUNE/ther;","Objective  To study the diagnosis of chronic lymphocytic thyroiditis （CLT）, and the treatment of CLT companied with other thyroid diseases. Methods  Clinical data of 63 cases of CLT were analyzed retrospectively. Results  26 cases were diagnosed by non-operative methods （11 cases by fine needle aspiration biopsy, FNAB）. The rest of 37 cases were operated on because of misdiagnosis as other thyroid disease and then comfirmed as CLT by pathology. Of them, 2 were companied with nodular goiter, 6 with Graves’ disease, 1 with thyroid adenoma and 2 with carcinoma, respectively. 19 cases were treated by thyroixine, 3 were not treated, 4 treated by operation after thyioxine managment and 37 were treated by operation. Non-operation group had rather satisfied effect in short-term period. 29 cases （78.4%） in operation group were followed up for 1 to 6 years, and 5 cases had hypothyroidism. Conclusions  It is necessary to have complete serum immunologic examination and FNAB for suspect patients.They have to be examined carefully in order to avoid omitting complications and incsease the rate of diagnosis.Non-operative treatment is the major therapy of CLT. If CLT is companied with other thyroid disease, operation or non- operation should be adopted according to the pathological type."
慢性淋巴细胞性甲状腺炎的诊断和治疗(附49例报告),https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZXDY200222024,"陈新文
,张扬
,魏尚典
,黎有典",China Journal of Modern Medicine,2002-11-26,Journals,3,甲状腺炎;; 自身免疫性;; 诊断治疗;,"目的 :探讨慢性淋巴细胞性甲状腺炎 （CLT）的诊断 ,以及CLT合并其它甲状腺疾病的治疗方案选择。方法 :回顾性分析该院 1988～ 2 0 0 1年收治的 4 9例CLT的临床资料。结果 :术前诊断 11例 ,诊断率为 2 2 .4 %（11/ 4 9） ,其中经细针穿刺细胞学检查 （FNAC）诊断 10例 ,均予以甲状腺素片治疗 ,疗效满意。其余 38例分别误诊为其它甲状腺疾病而施行手术 ,其中合并甲亢 5例 ,合并结节性甲状腺肿 5例 ,合并甲状腺腺瘤 4例 ,合并甲状腺癌 3例 ;手术组中随访 2 7例 （71.1% ） ,6例发生甲低。结论 :全面的血清免疫学检查 ,结合FNAC检查可提高CLT的诊断率。该病以非手术冶疗为主 ,对合并其它病变者 ,应根据病理类型选择合理的治疗方案。"
陈如泉运用活血消瘿汤治疗慢性淋巴细胞性甲状腺炎经验,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZZYZ200206015,方邦江;周爽;鲁新华,Journal of Traditional Chinese Medicine,2002-06-15,Journals,50,"甲状腺炎,自身免疫性/中医药疗法;; @活血消瘿汤;; 名医经验;","＜正＞ 慢性淋巴细胞性甲状腺炎,又称桥本病,是一种自身免疫性疾病。兹将吾师湖北中医学院陈如泉教授运用自拟活血消瘿汤治疗慢性淋巴细胞性甲状腺炎的经验介绍如下。1 病机分析慢性淋巴细胞性甲状腺炎,属于中医“瘿病”范畴。分别类似于气瘿或肉瘿或石瘿。然而,该病不等于中医“瘿病”,中医“瘿病”还包括地方性甲状腺肿、单纯性甲"
慢性淋巴细胞性甲状腺炎并发甲状腺癌一例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BQEB200302043,"武晓丽
,孙琰",Journal of Norman Bethune University of Medical Science,2003-03-30,Journals,1,,
小剂量地塞米松局部注射治疗慢性淋巴细胞性甲状腺炎32例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LCFC200301029,"杜晓梅,陈文道",Clinical Focus,2003-01-15,Journals,1,"甲状腺炎,慢性淋巴细胞性;; 地塞米松;; 泼尼松;",
细针吸取细胞学诊断慢性淋巴细胞性甲状腺炎82例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SYQK200312042,"方先勇,柏涛,江涛",Journal of Applied Clinical Pediatrics,2003-12-20,Journals,6,"细针吸取细胞学;; 甲状腺炎,淋巴细胞性,慢性;; 儿童;",
Therapeutic effect of medicinal cake-separated moxibustion on chronic lymphocyte thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZGZE200301002,"Wang Xiaoyan (The Second Hospital of Jilin University, Changchun 130041, China)",Chinese Acupuncture & Moxibustion,2003-01-12,Journals,69,"Thyroiditis, Autoitnmune/acup ther;; Indirect Moxibustion;","Objective To observe the therapeutic effect of medicinal cake-separated moxibustion on chronic lymphocyte thyroiditis （Hashimoto’s disease）. Methods The treatment group （ n = 34 cases） were treated by medicinal cake-separated moxibustion, the medication group （n = 32） treated by oral administration of Thyroxine tablets, and normal thyroid function indexes were investigated in the normal control group （ n = 35）. The two states of hypothyroidism and normal thyroid function were analyzed. Results The medicinal cake-separated moxibustion could effectively improve the thyroid function and immunological function in the patient of Hashimoto’s disease （P ＜ 0.01）. Conclusion The cake-separated moxibustion is a better therapy for Hashimoto’s disease."
Evans综合征合并慢性淋巴细胞性甲状腺炎一例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHNK200310039,"井丽萍,张凤奎,薛峰,王迎,李洋,李刚,储榆林",Chinese Journal of Internal Medicine,2003-10-20,Journals,4,,
儿童慢性淋巴细胞性甲状腺炎76例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZSEK200308017,"王德亮,解建军,张喜凤,王明经",Chinese Journal of Practical Pediatrics,2003-08-25,Journals,6,儿童;; 桥本病;; 甲状腺炎;,"目的 探讨儿童慢性淋巴细胞性甲状腺炎的临床表现特点、诊断方法及预后。方法 对76例慢性淋巴细胞性甲状腺炎患儿临床资料进行回顾性分析。结果 76例慢性淋巴细胞性甲状腺炎患儿,女性占81.59％,年龄为（10.52±3.12）岁,病程为（7.63±8.15）个月;全部病例均有甲状腺弥漫性肿大。初诊时临床表现为甲状腺功能亢进10例、甲状腺功能减低14例、无症状52例;初诊时临床诊断准确率为78.94％（60/76）,甲状腺针吸细胞学检查（FNAB）诊断准确率为98.68％（75/76）。随访2个月至4.5年,26例表现为甲状腺功能减低,32例甲状腺肿大消失,28例抗体降至正常;13例痊愈,痊愈病例中12例FNAB为淋巴型。结论 儿童慢性淋巴细胞性甲状腺炎临床表现不典型,易误诊;FNAB诊断准确率高,并可早期诊断;FNAB结合甲状腺自身抗体检查可作为儿童慢性淋巴细胞性甲状腺炎较可靠诊断手段;儿童慢性淋巴细胞性甲状腺炎近期预后良好,预后可能与细胞学类型相关。"
Clinical Analysis of Nodular Goiter Accompanied by Chronic Lymphocytic Thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=JYGZ200301032,"Tang Jian  jun,Sun Ke  jin,Kang Wen  qing,Bi ya,Qian Ye  pu  (Department of Surgery the 313 rd Hospital of PAL,Huludao 125000,Chima)",Journal of Clinical Medical officer,2003-02-28,Journals,4,nodular goiter;; chronic lymphocytic thyroiditis;; diagnosis;; treatment;,"Objective  Clinical experience in diagnosis and treatment of nodular goiter accompanied by chronic lymphocytic thyroiditis were discussed.Methods  22 cases of modular goitre accompanied by chronic lymphocytic thyroiditis were reviewed from 1989 to 2001.Results  All cases were surgically treated and diagnosed by pathology.Preoperative diagnostic  rate were 40.9%.According to different preoperative diagnosis.the various styles of thyrodectomy were performed.Postoperative hypothyroidism rate was 15.0%, and nodule recurrence rate was 9.1%.Conclusion  Both fine  needle aspiration biopsy and frozen stice are both useful in the diagnosis of nodular goiter accompanied by chronic lymphocytic thyroiditis.Accurate operative styles and resection range could prevent postoperative hypothyroidism and nodule recurrence effectively."
慢性淋巴细胞性甲状腺炎并发甲状腺结节的外科治疗,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=YWLC200305039,"任保元
,吴雨雷
,陈晋丽",Chinese Remedies & Clinics,2003-10-15,Journals,1,,
慢性淋巴细胞性甲状腺炎合并肾病综合征1例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XDJH200403100,"徐青,窦志艳,刘岩平,耿佩琛,田秀巧",Modern Jorunal of Integrated Traditional Chinese and Western Medicine,2004-02-05,Journals,,慢性淋巴细胞性甲状腺炎;; 肾病综合征;,
慢性淋巴细胞性甲状腺炎38例误诊分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHLC200403053,关宝嘉,Clinical Medicine of China,2004-03-30,Journals,1,慢性甲状腺炎;; 误诊;; 外科手术;,
慢性淋巴细胞性甲状腺炎35例误诊原因分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZJYE200402025,方庆丰,Zhejiang Medical Journal,2004-02-25,Journals,1,,
RELATIONSHIP BETWEEN IODINE LEVEL IN URINE AND CHRONIC LYMPHOCYTE THYROIDITIS IN INHABITANTS IN THE COASTAL AREAS OF SHANDONG PROVINCE,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BATE200403001,"YAN Sheng  li, WANG Yan  gang,ZHAO Shi  hua, et al  (Department of Endocrinology, The Affiliated Hospital of Qingdao University Medical College, Qingdao 266003, China)",Acta Acadimae Qingdao Umvesitatis,2004-09-25,Journals,7,"thyroiditis, autoimmune;; coastal area;; prevalence;; urine iodine;","Objective To survey the prevalence and related factors of chronic lymphocyte thyroiditis（CLT） in people residing in the coastal areas in Shandong province.  Methods The CLT prevalence and urine iodine level of the residents in Shandong coastal areas, including Yantai, Weihai, Rizhao and Qingdao, were investigated with random layer sampling method.  Results The prevalence of CLT in the areas was 0.91% with regional differences. The closer to the coast, the higher the prevalence rate of CLT（  χ  2=4.16-7.95;P  ＜0.05,0.01）.When the urine iodine median was over 300  μg/ L, the CLT morbidity rate went up obviously （  χ  2=4.23-36.94;P  ＜0.05,0.01）. The urine iodine was positively correlated with TGAb, TPOAb （  P  ＜  0.05  ,0.01）.  Conclusion\ Excessive intake of iodine may induce the genesis and development of CLT. The urine iodine of residents in the coastal areas should be controlled to less than 300 μg/ L ."
儿童慢性淋巴细胞性甲状腺炎20例临床分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=HNYK200406083,王丽,Journal of Zhengzhou University(Science Medical),2004-11-20,Journals,1,慢性淋巴细胞性甲状腺炎;; 治疗;; 儿童;,
