2024-08-16 21:19:51 INFO 'query_baidu' start 680 tasks by parallel.
2024-08-16 21:19:58 SUCCESS Task (营销策划, 0) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  6.93 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 4) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 5) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 6) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 7) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 8) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 9) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 0) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 1) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 2) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 3) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 4) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 5) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 6) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 7) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 8) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (沙龙, 9) completed by parallel. Result is [{'关键词': '沙龙', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  10.10 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 0) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  8.39 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 1) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  8.61 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 2) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  8.73 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 3) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 4) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 5) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 6) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 7) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 8) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (软件推广, 9) completed by parallel. Result is [{'关键词': '软件推广', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (人脉, 0) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (人脉, 1) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (人脉, 2) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (人脉, 3) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  8.82 seconds.
2024-08-16 21:20:19 SUCCESS Task (人脉, 4) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  8.84 seconds.
2024-08-16 21:20:20 SUCCESS Task (人脉, 5) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  9.17 seconds.
2024-08-16 21:20:20 SUCCESS Task (人脉, 6) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  9.18 seconds.
2024-08-16 21:20:20 SUCCESS Task (人脉, 7) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  9.20 seconds.
2024-08-16 21:20:20 SUCCESS Task (人脉, 8) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  9.20 seconds.
2024-08-16 21:20:20 SUCCESS Task (人脉, 9) completed by parallel. Result is [{'关键词': '人脉', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  9.21 seconds.
2024-08-16 21:20:20 SUCCESS Task (圈子, 0) completed by parallel. Result is [{'关键词': '圈子', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  9.46 seconds.
2024-08-16 21:20:20 SUCCESS Task (圈子, 1) completed by parallel. Result is [{'关键词': '圈子', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  9.49 seconds.
2024-08-16 21:20:20 SUCCESS Task (圈子, 2) completed by parallel. Result is [{'关键词': '圈子', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  9.52 seconds.
2024-08-16 21:20:20 SUCCESS Task (圈子, 3) completed by parallel. Result is [{'关键词': '圈子', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  9.52 seconds.
